2024-03-18,13:36:30,8.415340057159437e-05
2024-03-18,13:36:35,8.415340057159437e-05
2024-03-18,14:53:34,8.415340057159437e-05
2024-03-18,14:53:39,8.415340057159437e-05
2024-03-18,14:53:44,8.415340057159437e-05
2024-03-18,14:53:49,8.415340057159437e-05
2024-03-18,14:53:54,8.415340057159437e-05
2024-03-18,14:53:59,8.415340057159437e-05
2024-03-18,14:54:04,8.415340057159437e-05
2024-03-18,14:54:09,8.415340057159437e-05
2024-03-18,14:54:14,8.415340057159437e-05
2024-03-18,14:54:19,8.415340057159437e-05
2024-03-18,14:54:24,8.415340057159437e-05
2024-03-18,14:54:29,8.415340057159437e-05
2024-03-18,14:54:34,8.415340057159437e-05
2024-03-18,14:54:39,8.415340057159437e-05
2024-03-18,14:54:44,8.415340057159437e-05
2024-03-18,14:54:49,8.415340057159437e-05
2024-03-18,14:54:54,8.415340057159437e-05
2024-03-18,14:54:59,5.343685337605177e-06
2024-03-18,14:55:04,6.576601633073306e-07
2024-03-18,14:55:14,6.083615556205114e-06
2024-03-18,14:55:19,8.796766545127712e-06
2024-03-18,14:55:24,8.415340057159437e-05
2024-03-18,14:55:29,8.415340057159437e-05
2024-03-18,14:55:34,8.415340057159437e-05
2024-03-18,14:55:39,8.415340057159437e-05
